"id","main_id","ra","dec","distance_ly","x","y","z","spectral_type","diameter_solar","diameter_km","temperature","mass"
"1","2MASS J16334976-6808488","248.457409358136","-68.1468705833386","50.03","-6.8381","-17.3217","-46.4349","M8.5V","0.18","250560.0","3000.0","0.3"
"2","LP  356-106","52.20652624616","26.48676057833","50.08","27.4686","35.4206","22.3352","M4V","0.34","473280.0","3000.0","0.3"
"3","CD-49  2340","99.2967723532299","-50.0382649460782","50.09","-5.1973","31.749","-38.3927","K8Vk:","0.58","807360.0","4000.0","0.7"
"4","G  32-6","4.06094370397375","19.8604279553439","50.1","47.0019","3.3369","17.0205","M4.0V","0.34","473280.0","3000.0","0.3"
"5","WT 426","202.755955128323","-45.5859845520789","50.1","-32.3327","-13.5622","-35.7865","M3.5V","0.38","528960.0","3000.0","0.3"
"6","2MASS J06020638+4043588","90.526604","40.733025","50.1","-0.3489","37.9621","32.692","T4.5","","","",""
"7","HD   4967","12.8917501217029","-22.9100667377361","50.11","44.9937","10.2981","-19.5071","K5V","0.7","974400.0","4000.0","0.7"
"8","LP  699-32","331.54011725151","-7.39322333762","50.11","43.688","-23.6811","-6.4481","M5.5Ve","0.3","417600.0","3000.0","0.3"
"9","HD   4967B","12.8966163809921","-22.9085863887944","50.12","45.0023","10.3041","-19.5098","M5.5V","0.3","417600.0","3000.0","0.3"
"10","G  32-7","4.06730424462125","19.8640206143967","50.14","47.038","3.3447","17.037","M4.0V","0.34","473280.0","3000.0","0.3"
"11","L  404-216","214.198024062443","-44.8891527576439","50.18","-29.4044","-19.9817","-35.4139","M3e","0.38","528960.0","3000.0","0.3"
"12","Wolf   66","21.4027592","9.7567828","50.18","46.0437","18.0469","8.5038","M3.5V","0.38","528960.0","3000.0","0.3"
"13","ULAS J130217.21+130851.2","195.571695","13.147537","50.18","-47.0711","-13.1174","11.4139","T8.5","","","",""
"14","WISE J152305.10+312537.6","230.7709225","31.4285695555556","50.18","-27.0792","-33.1679","26.1656","T6.5pec","","","",""
"15","UCAC4 641-049451","199.679373557984","38.1762784932083","50.19","-37.1505","-13.2867","31.0216","G","1.0","1392000.0","5500.0","1.0"
"16","CD-27  9225","201.453527150038","-28.3739864823622","50.19","-41.1007","-16.1515","-23.8515","M1V","0.46","640320.0","3000.0","0.3"
"17","WG  21","186.67509426272","-66.20512980332","50.19","-20.1126","-2.3538","-45.9236","DA6.6","","","",""
"18","LP  987-23","356.659317023642","-34.1671013861553","50.19","41.4568","-2.4199","-28.1871","M3","0.38","528960.0","3000.0","0.3"
"19","Ross  188","307.856826520853","38.5622845931469","50.23","24.1035","-31.0105","31.3116","M5V","0.3","417600.0","3000.0","0.3"
"20","HD   3443","9.33633168345234","-24.7672734136729","50.23","45.0055","7.3992","-21.043","K1V+G","0.86","1197120.0","4000.0","0.7"
"21","G 241-45","346.874656054954","68.6680989326022","50.24","17.7984","-4.1501","46.798","M3.0V","0.38","528960.0","3000.0","0.3"
"22","G 138-40","248.22017010345","9.84054712172","50.26","-18.3741","-45.9856","8.5898","M3.5V","0.38","528960.0","3000.0","0.3"
"23","WISE J105257.95-194250.2","163.240446875","-19.7130824444444","50.26","-45.3047","13.6434","-16.9532","T7.5","","","",""
"24","[LM84] 4-72","301.980165031564","-42.0874041926956","50.26","19.7546","-31.6383","-33.6874","M","0.3","417600.0","3000.0","0.3"
"25","L  528-16","114.5403945073","-31.20530820265","50.27","-17.858","39.1128","-26.0452","M2.5","0.42","584640.0","3000.0","0.3"
"26","UCAC4 331-005234","66.04819305214","-23.94340560414","50.28","18.6556","41.9961","-20.4053","M2.5","0.42","584640.0","3000.0","0.3"
"27","VB  3","116.410114557555","-33.9309281685683","50.32","-18.5706","37.3936","-28.0883","DC10","","","",""
"28","G 149-70","199.136838354195","27.8749439195219","50.33","-42.0316","-14.585","23.5315","M4V","0.34","473280.0","3000.0","0.3"
"29","Ross  689","181.373667671811","69.5396117802314","50.33","-17.5883","-0.4218","47.1549","M4V","0.34","473280.0","3000.0","0.3"
"30","BD+10  1857","130.68554072375","9.55670026944445","50.33","-32.3551","37.6355","8.356","M1V","0.46","640320.0","3000.0","0.3"
"31","WISE J104245.23-384238.3","160.688462","-38.710647","50.33","-37.0635","12.9878","-31.4758","T8.5","","","",""
"32","L  489-43","283.105442654527","-37.5101292102392","50.38","9.0615","-38.9228","-30.6765","M4.5","0.34","473280.0","3000.0","0.3"
"33","PM J23462+2826","356.55862570199","28.43441303655","50.39","44.2312","-2.6599","23.9933","M3.5V","0.38","528960.0","3000.0","0.3"
"34","CD-45  5627","149.643013531303","-46.4251128810539","50.4","-29.9776","17.5575","-36.5135","M3Ve","0.38","528960.0","3000.0","0.3"
"35","2MASS J20575409-0252302","314.47539019797","-2.87506874657","50.4","35.2659","-35.9177","-2.528","L1","","","",""
"36","BD+10  1857C","130.717618832651","9.55310345953472","50.41","-32.428","37.6776","8.3661","M2.5V","0.42","584640.0","3000.0","0.3"
