id,main_id,ra,dec,distance_ly,x,y,z,spectral_type,diameter_solar,diameter_km,temperature,mass,luminosity,r,g,b
1,CD-31   909,34.17165637266792,-30.988395714401385,43.74,31.021,21.06,-22.518,M3Ve,0.836,1163712.0,2840.0,0.336,0.02201,255,171,98
2,HD 239960,336.9978041181893,57.695897924620475,13.05,6.419,-2.725,11.03,M3,1.072,1492298.0,2840.0,0.459,0.06534,255,171,98
3,LP  658-106,84.34717510199626,-8.268442726214168,75.49,7.358,74.34,-10.856,M6Ve,1.004,1398140.0,2480.0,0.423,0.04913,255,158,68
4,SIPS J0253-7959,43.43531346071,-79.98701862309,57.01,7.198,6.815,-56.142,M5.5e,0.936,1303224.0,2540.0,0.387,0.03612,255,160,73
5,HD 191408,302.7997448709225,-36.10120881266862,19.61,8.583,-13.318,-11.554,K2.5V,0.799,1112259.0,4200.0,0.318,0.01806,255,210,175
6,LP  702-50,348.9771118262087,-6.462897122789722,54.69,53.342,-10.391,-6.156,M5.5Ve,0.778,1083331.0,2540.0,0.307,0.01609,255,160,73
7,HD 116442,200.91314026185998,2.72332682431,54.11,-50.485,-19.291,2.571,G9V,0.693,965292.0,4720.0,0.266,0.00972,255,222,195
8,L 1258-40,165.57514972163,16.5092904916,83.65,-77.676,19.98,23.772,M0V,1.374,1913203.0,3200.0,0.626,0.19377,255,183,123
9,LP  916-45,238.90369976876002,-32.0001139176,71.07,-31.128,-51.609,-37.661,M2,1.43,1990662.0,2960.0,0.658,0.23051,255,175,107
10,PM J16016-2625,240.41560813755,-26.421084639759997,79.74,-35.256,-62.101,-35.482,M0,0.983,1368785.0,3200.0,0.412,0.04478,255,183,123
11,CD-56  1032A,73.38000638631,-55.86030637067001,36.17,5.806,19.452,-29.939,M3Ve,1.298,1806836.0,2840.0,0.583,0.15087,255,171,98
12,HD 103095,178.2448639115646,37.718681698090286,29.91,-23.652,0.725,18.301,K1V_Fe-1.5,0.792,1102303.0,4380.0,0.314,0.01736,255,214,182
13,G 254-29,176.9224454840937,78.69116006356583,17.14,-3.356,0.18,16.804,M4.0V,1.325,1844891.0,2720.0,0.598,0.16527,255,167,89
14,HD 118972,205.26737731706996,-34.46415630434999,51.18,-38.161,-18.012,-28.963,K0V,1.248,1737800.0,4500.0,0.555,0.12722,255,217,187
